"Package","Version"
"strucchange","1.5-4"
"summarytools","1.1.5"
"SuperLearner","2.0-40"
"SuppDists","1.1-9.9"
"survey","4.5"
"survival","3.8-9"
"survminer","0.5.2"
"svglite","2.2.2"
"svUnit","1.0.8"
"swagger","5.32.1"
"sys","3.4.3"
"sysfonts","0.8.9"
"systemfit","1.1-30"
"systemfonts","1.3.2"
"table1","1.5.1"
"tableone","0.13.2"
"tables","0.9.35"
"tailor","0.1.0"
"tcltk2","1.6.1"
"tensor","1.5.1"
"tensorA","0.36.2.1"
"terra","1.9-34"
"testit","1.1"
"testthat","3.3.2"
"texreg","1.39.5"
"textshaping","1.0.5"
"TH.data","1.1-5"
"thief","0.3"
"threejs","0.3.4"
"tibble","3.3.1"
"tidybayes","3.0.7"
"tidymodels","1.5.0"
"tidyquant","1.0.12"
"tidyr","1.3.2"
"tidyselect","1.2.1"
"tidyverse","2.0.0"
"timechange","0.4.0"
"timeDate","4052.112"
"timereg","2.0.7"
"timeROC","0.4.1"
"timetk","2.9.1"
"tinytable","0.17.0"
"tinytex","0.60"
"tippy","0.1.0"
"tkrplot","0.0-32"
"tmaptools","3.3"
"TMB","1.9.23"
"tmvnsim","1.0-2"
"tmvtnorm","1.7"
"TOSTER","0.8.6"
"treemapify","2.6.1"
"triebeard","0.4.1"
"truncnorm","1.0-9"
"truncreg","0.2-5"
"trust","0.1-9"
"tryCatchLog","1.3.3"
"tsDyn","11.0.5.2"
"tseries","0.10-62"
"tseriesChaos","0.1-13.1"
"tsfeatures","1.1.1"
"tsibble","1.2.0"
"TSP","1.2.7"
"TSstudio","0.1.7"
"TTR","0.24.4"
"tufte","0.15.0"
"tune","2.1.0"
"tweenr","2.0.3"
"tzdb","0.5.0"
"units","1.0-1"
"UpSetR","1.4.1"
"urca","1.3-4"
"urlchecker","2.0.0"
"urltools","1.7.3.1"
"usethis","3.2.1"
"utf8","1.2.6"
"uuid","1.2-2"
"V8","8.2.0"
"vars","1.6-1"
"vcd","1.4-13"
"vctrs","0.7.3"
"vegan","2.7-5"
"vipor","0.4.7"
"viridis","0.6.5"
"viridisLite","0.4.3"
"visdat","0.6.0"
"visNetwork","2.1.4"
"vroom","1.7.1"
"vtable","1.4.8"
"waiter","0.2.5.1"
"waldo","0.6.2"
"warp","0.2.3"
"waveslim","1.8.5"
"WDI","2.7.10"
"webdriver","1.0.6"
"webshot","0.5.5"
"websocket","1.4.4"
"webutils","1.2.3"
"whisker","0.4.1"
"WikidataQueryServiceR","1.0.0"
"WikipediR","1.7.1"
"wildmeta","0.3.2"
"withr","3.0.3"
"wk","0.9.5"
"workflows","1.3.0"
"workflowsets","1.1.1"
"writexl","1.5.4"
"WRS2","1.1-7"
"xfun","0.60"
"xgboost","3.2.1.1"
"XML","3.99-0.23"
"xml2","1.6.0"
"xmlparsedata","1.0.5"
"xopen","1.0.1"
"xslt","1.5.1"
"xtable","1.8-8"
"xts","0.14.2"
"yaml","2.3.12"
"yardstick","1.4.0"
"yyjsonr","0.1.22"
"zeallot","0.2.0"
"zigg","0.0.2"
"zip","3.0.1"
"zoo","1.8-15"
"base","4.5.2"
"boot","1.3-32"
"class","7.3-23"
"cluster","2.1.8.1"
"codetools","0.2-20"
"compiler","4.5.2"
"datasets","4.5.2"
"foreign","0.8-90"
"graphics","4.5.2"
"grDevices","4.5.2"
"grid","4.5.2"
"KernSmooth","2.23-26"
"lattice","0.22-7"
"MASS","7.3-65"
"Matrix","1.7-4"
"methods","4.5.2"
"mgcv","1.9-3"
"nlme","3.1-168"
"nnet","7.3-20"
"parallel","4.5.2"
"rpart","4.1.24"
"spatial","7.3-18"
"splines","4.5.2"
"stats","4.5.2"
"stats4","4.5.2"
"survival","3.8-3"
"tcltk","4.5.2"
"tools","4.5.2"
"translations","4.5.2"
"utils","4.5.2"
